YEAR,MO,DY,T2MDEW,TS,QV2M,RH2M,WS10M,PS,T2M_RANGE
2023,7,1,22.62,26.33,18.86,84.0,1.91,91.9,6.98
2023,7,2,22.83,28.03,19.1,80.38,1.8,91.81,7.73
2023,7,3,23.14,27.33,19.47,83.25,2.7,91.79,6.66
2023,7,4,23.0,25.72,19.29,87.31,2.62,91.86,5.46
2023,7,5,22.69,25.06,18.92,87.12,2.02,91.82,3.61
2023,7,6,22.62,27.14,18.92,79.75,2.38,91.89,6.7
2023,7,7,22.87,27.1,19.1,81.88,3.34,92.0,6.87
2023,7,8,23.39,27.36,19.71,82.88,3.19,92.07,6.76
2023,7,9,23.55,27.76,19.9,82.31,2.53,91.98,6.64
2023,7,10,23.49,28.01,19.84,81.06,2.68,91.91,8.09
2023,7,11,23.93,27.18,20.39,84.88,2.63,91.88,5.41
2023,7,12,23.78,27.87,20.2,84.0,2.74,91.86,7.59
2023,7,13,23.8,25.87,20.26,90.12,2.91,91.88,4.84
2023,7,14,22.88,24.83,19.1,90.38,2.24,91.93,3.35
2023,7,15,23.14,26.5,19.41,84.25,1.96,91.91,6.42
2023,7,16,23.76,26.83,20.2,85.31,2.42,91.84,5.16
2023,7,17,23.22,26.21,19.59,86.38,2.3,91.8,6.28
2023,7,18,22.01,25.15,18.13,82.75,1.96,91.86,5.36
2023,7,19,22.55,26.9,18.8,78.31,2.11,91.75,7.53
2023,7,20,23.91,26.93,20.51,84.06,2.4,91.7,6.54
2023,7,21,23.28,27.43,19.59,81.44,2.49,91.99,7.55
2023,7,22,23.23,27.06,19.53,82.31,2.71,92.23,6.84
2023,7,23,23.38,26.68,19.71,84.31,2.67,92.2,6.3
2023,7,24,22.46,25.52,18.68,85.25,2.4,92.03,5.77
2023,7,25,22.7,25.88,18.92,84.88,2.15,92.05,6.24
2023,7,26,22.73,25.49,18.92,86.06,2.01,92.1,5.49
2023,7,27,22.6,25.96,18.8,83.12,1.95,91.98,5.6
2023,7,28,23.63,26.27,20.08,85.94,2.65,91.68,5.66
2023,7,29,24.02,25.87,20.57,90.25,2.46,91.68,5.01
2023,7,30,23.71,25.69,20.2,90.19,2.1,91.6,4.77
2023,7,31,23.72,26.73,20.26,84.38,2.11,91.48,6.4
2023,8,1,23.74,27.25,20.32,81.62,1.51,91.41,5.91
2023,8,2,23.61,26.5,20.14,82.5,1.21,91.43,5.27
2023,8,3,23.9,26.8,20.45,85.56,2.61,91.51,6.49
2023,8,4,23.21,25.22,19.59,88.56,2.51,91.77,4.56
2023,8,5,23.29,25.22,19.59,90.69,1.96,91.82,5.37
2023,8,6,22.72,24.58,18.98,90.94,2.03,91.58,3.85
2023,8,7,23.76,24.97,20.32,93.94,3.41,91.35,4.64
2023,8,8,23.69,25.49,20.2,91.38,1.91,91.51,5.86
2023,8,9,23.42,25.14,19.78,91.75,1.97,91.82,3.87
2023,8,10,23.86,25.48,20.32,92.38,2.49,91.98,5.57
2023,8,11,23.74,25.65,20.14,91.12,2.2,91.94,5.49
