Data Provider,Short Name,Version,Entry Title,Processing Level,Platform,Start Time,End Time
"ORNL_CLOUD","ATom_CO_GEOS_1604","1","ATom: Observed and GEOS-5 Simulated CO Concentrations with Tagged Tracers for ATom-1","2","MODELS, NASA DC-8","2016-07-29T14:33:05.000Z","2016-08-23T20:00:45.000Z"
"ORNL_CLOUD","ATom_Carbon_Aerosol_Loadings_1618","1","ATom: Black Carbon Mass Mixing Ratios from ATom-1 Flights","2","NASA DC-8","2016-07-29T00:00:00.000Z","2016-08-23T23:59:59.000Z"
"ORNL_CLOUD","ATom_HIPPO_ORCAS_1788","1","ATom: Age of Air, ArN2 Ratio, and Trace Gases in Stratospheric Samples, 2009-2018","3","NASA DC-8, MODELS, NSF/NCAR GV HIAPER","2009-01-10T00:00:00.000Z","2018-05-21T23:59:00.000Z"
"ORNL_CLOUD","ATom_Mapping_OH_Troposphere_1669","1","ATom: Column-Integrated Densities of Hydroxyl and Formaldehyde in Remote Troposphere","3","NASA DC-8, Aura","2016-07-29T00:00:00.000Z","2017-02-21T23:59:59.000Z"
"ORNL_CLOUD","ATom_NMASS_Data_1607","1","ATom: Nucleation Mode Aerosol Size Spectrometer Calibration and Performance Data","2","LABORATORY","2016-10-15T00:00:00.000Z","2018-01-20T23:59:59.000Z"
"ORNL_CLOUD","ATom_UHSAS_Data_1619","1","ATom: Ultra-High Sensitivity Aerosol Spectrometer Calibration and Performance Data","2","LABORATORY, NASA DC-8","2016-07-04T00:00:00.000Z","2017-05-31T23:59:59.000Z"
"ORNL_CLOUD","ATom_nav_1613","1","ATom: Aircraft Flight Track and Navigational Data","1B","NASA DC-8","2016-07-29T00:00:00.000Z","2018-05-21T23:59:59.000Z"
"ORNL_CLOUD","Aerosol_Sulfate_LowermostStrat_1868","1","ATom: Ultrafine Aerosol Characteristics and Formation, Lower Stratosphere, 2016-2018","4","NASA DC-8, MODELS","2016-07-29T00:00:00.000Z","2018-05-21T23:59:59.000Z"
"ORNL_CLOUD","Airborne_Insitu_Measurements_1784","1","ATom: In-Situ Measurements of Airflow and Aerosols from Multiple Airborne Campaigns","2","NASA DC-8","2013-06-10T00:00:00.000Z","2018-05-21T23:59:59.000Z"
"ORNL_CLOUD","CMS_Global_Livestock_CH4_CO2_1329","2","CMS: Global Carbon Fluxes Associated with Livestock Feed and Emissions, 2000-2013","3","MODELS","2000-01-01T00:00:00.000Z","2013-12-31T23:59:59.000Z"
