-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2024 through 08/01/2024 
Location: Latitude  27.7178   Longitude 85.3112 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
QV2M       MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
PS         MERRA-2 Surface Pressure (kPa) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M      MERRA-2 Wind Direction at 10 Meters (Degrees) 
PSC        MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC        MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 20-m broadleaf-deciduous trees (75% coverage) (vegtype_2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,QV2M,RH2M,PS,WS10M,WD10M,PSC,WSC
2024,5,1,0,23.85,1.64,4.7,23.38,91.67,1.24,303.99,93.39,1.97
2024,5,1,1,23.52,1.25,4.58,23.19,91.63,1.02,317.17,93.35,1.51
2024,5,1,2,23.27,0.99,4.52,23.12,91.62,0.9,328.1,93.35,1.26
2024,5,1,3,23.15,1.01,4.52,23.31,91.63,1.03,349.46,93.35,1.33
2024,5,1,4,22.8,1.02,4.52,23.88,91.6,1.28,14.46,93.33,1.61
2024,5,1,5,22.58,0.88,4.46,23.94,91.62,1.39,29.31,93.35,1.72
2024,5,1,6,23.53,1.5,4.64,23.62,91.67,1.26,39.99,93.39,1.65
2024,5,1,7,27.62,1.27,4.58,18.19,91.73,0.5,5.36,93.42,0.7
2024,5,1,8,30.55,0.16,4.21,14.19,91.77,2.15,262.28,93.45,2.37
2024,5,1,9,32.78,-1.21,3.85,11.38,91.79,3.32,250.63,93.46,3.36
2024,5,1,10,34.72,-2.81,3.42,9.12,91.77,4.33,247.51,93.43,4.39
2024,5,1,11,36.33,-4.32,3.05,7.44,91.73,5.45,247.92,93.38,5.66
2024,5,1,12,37.37,-5.31,2.87,6.5,91.64,6.78,248.79,93.29,7.26
2024,5,1,13,37.81,-5.78,2.75,6.12,91.56,8.23,249.97,93.2,9.03
2024,5,1,14,37.51,-6.16,2.69,6.06,91.46,9.68,250.19,93.1,10.82
2024,5,1,15,36.4,-6.42,2.62,6.31,91.45,10.84,250.34,93.09,12.34
2024,5,1,16,34.72,-6.92,2.5,6.69,91.46,11.0,252.3,93.11,12.79
2024,5,1,17,32.77,-7.79,2.38,6.94,91.51,9.94,255.76,93.17,12.04
2024,5,1,18,29.89,-7.81,2.38,8.19,91.56,6.85,259.88,93.24,10.14
2024,5,1,19,25.93,-5.94,2.69,11.88,91.64,4.17,264.95,93.34,8.43
2024,5,1,20,24.28,-4.83,2.93,14.19,91.69,3.44,273.91,93.41,6.98
2024,5,1,21,23.43,-4.13,3.05,15.69,91.75,3.03,285.4,93.47,5.46
2024,5,1,22,23.19,-3.87,3.11,16.25,91.78,2.52,305.27,93.51,3.96
2024,5,1,23,23.14,-4.29,3.05,15.75,91.77,2.25,336.72,93.5,3.22
2024,5,2,0,22.42,-4.72,2.93,15.94,91.71,2.38,5.28,93.44,3.25
2024,5,2,1,21.82,-5.17,2.87,16.0,91.7,2.47,18.26,93.43,3.31
2024,5,2,2,21.55,-5.69,2.75,15.62,91.65,2.36,24.19,93.38,3.11
2024,5,2,3,21.14,-6.11,2.62,15.5,91.66,2.22,27.65,93.4,2.88
2024,5,2,4,21.11,-6.5,2.56,15.12,91.64,2.07,31.41,93.38,2.61
2024,5,2,5,21.13,-6.84,2.5,14.69,91.66,1.75,38.66,93.39,2.11
2024,5,2,6,22.28,-5.5,2.75,15.19,91.71,1.17,50.98,93.43,1.36
2024,5,2,7,26.08,-6.7,2.56,11.12,91.73,0.41,161.22,93.44,0.62
2024,5,2,8,29.66,-7.04,2.5,8.81,91.78,3.14,228.53,93.46,3.27
2024,5,2,9,31.4,-6.33,2.62,8.44,91.8,4.57,233.89,93.48,4.56
2024,5,2,10,32.52,-5.77,2.75,8.25,91.81,5.4,236.56,93.49,5.35
2024,5,2,11,33.32,-5.4,2.81,8.12,91.78,5.96,237.95,93.45,5.89
2024,5,2,12,33.84,-5.27,2.87,8.0,91.71,6.61,237.7,93.37,6.57
2024,5,2,13,33.94,-5.31,2.87,7.94,91.66,7.06,238.35,93.32,7.11
2024,5,2,14,33.69,-5.49,2.81,7.94,91.61,7.08,241.91,93.28,7.26
2024,5,2,15,33.06,-5.75,2.75,8.06,91.58,6.53,247.21,93.24,6.78
2024,5,2,16,32.07,-6.04,2.69,8.31,91.59,5.83,252.78,93.26,6.18
