-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  27.7372   Longitude 85.3002 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS         MERRA-2 Surface Pressure (kPa) 
PS         MERRA-2 Surface Pressure (kPa) 
PSC        MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
WSC        MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
QV2M       MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WD10M      MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M      MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 20-m broadleaf-deciduous trees (75% coverage) (vegtype_2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2012,92.77,92.54,92.41,92.15,91.87,91.38,91.56,91.81,92.15,92.62,92.69,92.72,92.22
PS,2013,92.86,92.81,92.5,92.18,91.84,91.68,91.59,91.84,92.09,92.53,92.8,92.78,92.29
PS,2014,92.98,92.64,92.59,92.3,92.02,91.53,91.64,91.8,92.12,92.68,92.7,92.89,92.32
PS,2015,92.92,92.78,92.71,92.36,92.0,91.7,91.65,91.85,92.16,92.67,92.84,92.92,92.38
PS,2016,92.85,92.82,92.57,92.02,91.98,91.83,91.72,91.78,92.08,92.38,92.73,92.83,92.3
PS,2017,92.88,92.77,92.42,92.15,92.04,91.68,91.7,91.83,92.12,92.41,92.74,92.92,92.3
PS,2018,92.65,92.73,92.43,92.29,92.04,91.6,91.54,91.69,92.18,92.68,92.81,92.91,92.29
PS,2019,92.98,92.78,92.55,92.29,91.99,91.74,91.61,91.78,92.26,92.69,92.81,93.01,92.37
PS,2020,92.88,92.9,92.61,92.41,92.12,91.82,91.8,91.74,92.04,92.35,92.89,92.8,92.36
PS,2021,92.72,92.68,92.42,92.31,92.09,91.74,91.7,91.86,92.16,92.38,92.68,92.95,92.31
PS,2022,92.75,92.57,92.36,92.15,91.88,91.74,91.88,91.89,92.15,92.62,92.78,92.76,92.29
PS,2012,92.77,92.54,92.41,92.15,91.87,91.38,91.56,91.81,92.15,92.62,92.69,92.72,92.22
PS,2013,92.86,92.81,92.5,92.18,91.84,91.68,91.59,91.84,92.09,92.53,92.8,92.78,92.29
PS,2014,92.98,92.64,92.59,92.3,92.02,91.53,91.64,91.8,92.12,92.68,92.7,92.89,92.32
PS,2015,92.92,92.78,92.71,92.36,92.0,91.7,91.65,91.85,92.16,92.67,92.84,92.92,92.38
PS,2016,92.85,92.82,92.57,92.02,91.98,91.83,91.72,91.78,92.08,92.38,92.73,92.83,92.3
