Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID,elevation
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1096
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1101
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1107
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1103
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1076
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1090
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1092
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1086
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1064
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1069
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1084
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1088
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1041
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1055
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1067
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753,1068
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1159
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1154
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1151
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1148
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1137
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1136
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1142
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1126
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753,1122
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1910
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1914
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1915
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1891
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1891
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1893
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1874
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1875
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1868
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1856
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1851
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505,1845
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,888
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,899
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,901
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,891
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,876
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,868
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,870
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,876
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,859
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,863
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,864
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505,882
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1490
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1495
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1498
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1506
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1488
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1512
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1517
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1524
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1493
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1508
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1515
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1519
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1476
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1488
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1497
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505,1511
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1313
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1326
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1329
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1326
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1298
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1316
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1320
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1321
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1288
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1304
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1313
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505,1311
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,735
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,751
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,757
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,764
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,752
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,767
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,771
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,782
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,775
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,781
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,787
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,797
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,786
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,798
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,803
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505,808
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1184
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1179
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1181
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1190
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1187
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1189
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1194
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1192
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1195
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1204
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1202
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505,1201
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,947
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,961
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,978
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,959
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,974
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,989
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,976
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,992
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,1008
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,1004
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,1014
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505,1027
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1597
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1608
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1625
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1637
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1609
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1617
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1626
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1641
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1604
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1612
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1620
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1628
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1582
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1584
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1602
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505,1610
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1310
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1316
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1319
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1320
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1301
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1308
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1312
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1312
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1291
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1293
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1297
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505,1301
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,804
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,804
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,806
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,808
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,803
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,805
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,804
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,812
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,804
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,804
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,807
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505,830
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1509
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1499
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1488
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1475
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1519
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1510
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1498
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1485
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1533
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1530
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1525
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1511
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1552
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1555
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1538
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505,1524
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1425
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1406
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1383
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1364
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1400
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1384
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1365
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1348
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1378
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1364
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1352
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1339
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1351
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1348
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1350
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505,1342
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1129
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1141
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1163
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1183
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1111
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1122
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1143
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1173
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1095
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1109
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1133
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1157
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1088
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1098
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1116
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505,1138
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1196
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1191
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1192
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1199
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1190
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1185
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1191
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1189
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1181
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1170
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1181
2023-246T17:19:18.8653Z [Sep,27.94,85.226,12799,69,2,2,164505,1182
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1365
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1365
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1368
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1365
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1355
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1351
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1353
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1357
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1352
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735,1343
