Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-075T21:09:50.3721Z [Mar,27.490,84.669,664386,606,21,43,200952
2023-075T21:09:53.4584Z [Mar,27.481,84.570,13610,0,1,2,200952
2023-075T21:09:56.8056Z [Mar,27.451,84.592,20100,9,2,4,200952
2023-075T21:10:02.0406Z [Mar,27.193,85.219,91748,290,8,12,200952
2023-075T21:10:02.4973Z [Mar,27.414,84.609,5025,0,1,1,200952
2023-075T21:10:04.3756Z [Mar,27.097,84.901,5025,0,1,1,200952
2023-075T21:10:06.5273Z [Mar,27.472,84.597,5734,0,1,1,200952
2023-075T21:10:10.4649Z [Mar,27.461,84.588,12117,123,2,2,200952
2023-075T21:10:12.5719Z [Mar,27.021,84.850,22274,122,3,5,200952
2023-075T21:10:14.0437Z [Mar,27.408,84.623,36648,0,1,6,200952
2023-075T21:10:14.1030Z [Mar,27.434,84.534,99060,3,3,9,200952
2023-075T21:10:23.3504Z [Mar,27.242,85.222,168500,358,8,17,200952
2023-075T21:10:23.7303Z [Mar,27.022,84.810,16747,239,2,2,200952
2023-075T21:10:24.1579Z [Mar,27.017,84.923,154877,755,16,28,200952
2023-079T11:23:34.6464Z [Mar,27.449,84.834,186886,55,3,16,105130
2023-079T11:23:37.0011Z [Mar,27.542,84.912,60823,15,5,9,105130
2023-079T11:23:51.2441Z [Mar,27.257,84.716,636867,474,13,61,105130
2023-079T11:24:24.3139Z [Mar,27.322,84.771,448571,146,10,39,105130
2023-079T11:24:36.8276Z [Mar,27.336,84.771,146062,94,4,14,105130
2023-079T11:24:42.1325Z [Mar,27.400,84.896,105810,2,2,12,105130
2023-079T11:24:48.5428Z [Mar,27.432,84.902,80470,3,3,10,105130
2023-079T11:24:57.8317Z [Mar,27.344,84.772,197545,252,7,17,105130
2023-080T10:36:37.8081Z [Mar,27.700,85.400,184222,336,7,17,100444
2023-137T12:08:53.4731Z [May,27.488,84.557,178926,257,10,19,113728
2023-137T12:08:55.0126Z [May,27.486,84.542,244904,381,4,17,113728
2023-137T12:08:55.5609Z [May,27.211,85.113,54073,40,2,8,113728
2023-137T12:08:56.2106Z [May,27.577,84.566,144574,263,6,18,113728
2023-137T12:08:56.2769Z [May,27.318,84.913,473589,266,13,42,113728
2023-137T12:08:56.3609Z [May,27.705,84.518,112251,481,9,17,113728
2023-137T12:08:57.8296Z [May,27.150,85.206,61274,342,4,10,113728
2023-137T12:08:58.5477Z [May,27.445,84.596,52621,111,5,10,113728
2023-137T12:08:58.5909Z [May,27.138,85.089,94866,202,5,10,113728
2023-137T12:08:58.9276Z [May,27.050,85.145,43634,60,4,6,113728
2023-137T12:08:59.2426Z [May,27.252,85.403,100659,200,9,13,113728
2023-137T12:08:59.7185Z [May,27.432,84.562,73018,258,7,12,113728
2023-137T12:09:00.8450Z [May,27.129,85.138,320739,486,10,31,113728
2023-137T12:09:01.8354Z [May,27.756,84.639,57749,426,6,9,113728
2023-137T12:09:02.3545Z [May,27.228,85.339,142278,308,7,14,113728
2023-137T12:09:02.7143Z [May,27.466,84.538,101281,374,6,12,113728
2023-137T12:09:03.3082Z [May,27.563,84.588,107093,300,6,15,113728
2023-137T12:09:03.7545Z [May,27.280,85.417,855379,669,32,93,113728
2023-137T12:09:04.4097Z [May,27.271,84.847,101670,175,3,14,113728
2023-137T12:09:05.4514Z [May,27.363,84.550,104231,217,6,9,113728
2023-137T12:09:05.5374Z [May,27.161,85.319,91791,344,8,13,113728
2023-137T12:09:05.8188Z [May,27.126,85.096,235999,123,7,22,113728
2023-137T12:09:06.2950Z [May,27.482,84.592,150387,399,11,24,113728
2023-137T12:09:07.2206Z [May,27.706,84.646,49379,447,5,7,113728
2023-137T12:09:07.4679Z [May,27.165,85.070,262380,286,11,25,113728
2023-137T12:09:07.6055Z [May,27.055,85.189,97022,118,3,12,113728
2023-137T12:09:08.4648Z [May,27.458,84.520,488043,208,8,24,113728
2023-137T12:09:09.3351Z [May,27.329,85.321,5889756,1552,92,363,113728
2023-137T12:09:09.6341Z [May,27.414,84.547,63161,164,3,7,113728
2023-137T12:09:10.5902Z [May,27.144,85.140,99317,313,6,10,113728
2023-137T12:09:11.0610Z [May,27.382,84.529,144687,89,7,11,113728
2023-137T12:09:11.1987Z [May,27.303,84.857,163500,200,8,30,113728
2023-137T12:09:11.8615Z [May,27.033,85.158,58895,37,3,9,113728
2023-137T12:09:11.9078Z [May,27.869,84.835,35400,30,3,4,113728
2023-137T12:09:12.1691Z [May,27.543,84.576,207662,384,7,20,113728
2023-137T12:09:12.2605Z [May,27.700,84.676,116724,204,9,18,113728
2023-137T12:09:12.4183Z [May,27.241,85.417,81567,277,6,11,113728
2023-137T12:09:12.6062Z [May,27.454,84.516,323905,493,16,38,113728
2023-137T12:09:12.6329Z [May,27.178,85.304,191787,318,11,24,113728
2023-137T12:09:13.6157Z [May,27.746,84.636,48654,75,4,8,113728
2023-137T12:09:13.9112Z [May,27.786,84.538,278366,417,18,39,113728
2023-137T12:09:14.2137Z [May,27.431,84.585,190653,338,12,19,113728
2023-137T12:09:14.7332Z [May,27.176,85.120,132277,408,7,18,113728
2023-137T12:09:15.2202Z [May,27.252,84.848,136055,90,2,13,113728
2023-137T12:09:16.4539Z [May,27.272,85.393,456457,529,14,33,113728
2023-137T12:09:17.0533Z [May,27.448,84.526,266678,576,12,26,113728
2023-137T12:09:17.6101Z [May,27.151,85.373,243805,315,15,29,113728
2023-137T12:09:18.7919Z [May,27.414,84.563,82472,43,4,10,113728
2023-137T12:09:19.4864Z [May,27.126,85.132,222145,234,9,21,113728
2023-137T12:09:20.2249Z [May,27.434,84.517,71724,102,3,10,113728
2023-137T12:09:20.6390Z [May,27.132,85.284,800995,564,22,65,113728
2023-137T12:09:20.8435Z [May,27.652,84.684,77105,25,2,7,113728
2023-137T12:09:22.0988Z [May,27.351,84.560,66069,109,4,7,113728
2023-137T12:09:22.2275Z [May,27.533,84.599,583257,326,16,59,113728
2023-137T12:09:22.2616Z [May,27.700,84.653,124872,184,9,16,113728
2023-137T12:09:22.9581Z [May,27.178,85.313,179516,283,13,21,113728
2023-137T12:09:22.9993Z [May,27.117,85.174,149078,281,6,14,113728
2023-137T12:09:24.1585Z [May,27.745,84.838,273390,530,16,35,113728
2023-137T12:09:24.5218Z [May,27.132,85.132,215043,499,10,22,113728
2023-137T12:09:24.5274Z [May,27.639,84.510,101642,286,8,14,113728
2023-137T12:09:24.6223Z [May,27.431,84.556,26365,0,1,3,113728
2023-137T12:09:25.4118Z [May,27.015,85.171,115500,0,1,12,113728
2023-137T12:09:25.4922Z [May,27.529,84.567,38651,106,4,6,113728
2023-137T12:09:25.7520Z [May,27.383,84.545,26539,64,2,3,113728
2023-137T12:09:25.9525Z [May,27.323,84.971,725027,440,22,70,113728
2023-137T12:09:28.2192Z [May,27.361,84.566,52748,182,4,8,113728
2023-137T12:09:28.9765Z [May,27.437,84.531,34812,0,1,3,113728
2023-137T12:09:29.1001Z [May,27.093,85.131,423674,513,17,47,113728
2023-137T12:09:29.4256Z [May,27.742,85.031,751629,651,27,118,113728
2023-137T12:09:29.7357Z [May,27.222,85.428,84319,3,3,9,113728
2023-137T12:09:30.2834Z [May,27.302,84.864,44174,62,2,6,113728
2023-137T12:09:30.5075Z [May,27.405,84.512,103460,215,5,10,113728
2023-137T12:09:31.2843Z [May,27.176,85.297,237421,381,9,32,113728
2023-137T12:09:31.4527Z [May,27.520,84.597,265883,372,12,36,113728
2023-137T12:09:31.6713Z [May,27.184,85.105,125870,21,2,10,113728
2023-137T12:09:31.9165Z [May,27.305,84.954,68352,113,6,11,113728
2023-137T12:09:32.0582Z [May,27.860,84.855,59704,1,2,6,113728
2023-137T12:09:32.2406Z [May,27.715,84.655,284506,506,13,31,113728
2023-137T12:09:33.5852Z [May,27.325,84.834,65955,19,3,10,113728
2023-137T12:09:33.6440Z [May,27.226,85.433,61198,120,3,8,113728
2023-137T12:09:33.7390Z [May,27.115,85.084,175452,78,4,13,113728
2023-137T12:09:33.8983Z [May,27.419,84.568,1637083,750,39,107,113728
2023-137T12:09:34.0149Z [May,27.046,85.148,83429,0,1,6,113728
2023-137T12:09:34.5933Z [May,27.113,85.191,68004,340,7,11,113728
2023-137T12:09:35.9500Z [May,27.123,85.127,109585,288,12,15,113728
2023-137T12:09:36.3369Z [May,27.151,85.360,89527,291,6,14,113728
2023-137T12:09:36.9942Z [May,27.253,85.401,84344,277,5,12,113728
2023-137T12:09:37.5796Z [May,27.530,84.562,1089855,972,34,97,113728
2023-137T12:09:37.9499Z [May,27.170,85.145,499886,297,4,20,113728
2023-137T12:09:38.1881Z [May,27.383,84.530,42015,94,6,8,113728
2023-137T12:09:38.2614Z [May,27.712,84.637,40093,542,5,8,113728
2023-137T12:09:38.8147Z [May,27.238,85.431,43664,73,3,6,113728
2023-137T12:09:39.0835Z [May,27.147,85.052,192855,173,6,17,113728
2023-137T12:09:39.8387Z [May,27.315,84.532,467361,386,32,64,113728
2023-137T12:09:39.9588Z [May,27.174,85.307,103407,326,6,14,113728
2023-137T12:09:40.1040Z [May,27.413,84.578,72902,438,9,11,113728
2023-137T12:09:40.2382Z [May,27.303,84.842,32605,182,2,4,113728
2023-137T12:09:40.4674Z [May,27.047,85.152,54974,114,6,9,113728
2023-137T12:09:41.6703Z [May,27.059,85.196,49491,141,3,8,113728
2023-137T12:09:41.7799Z [May,27.334,85.496,10847816,2184,181,850,113728
2023-137T12:09:41.9407Z [May,27.301,85.445,289205,4,3,22,113728
2023-137T12:09:42.2346Z [May,27.674,84.864,62020,123,3,7,113728
2023-137T12:09:42.4245Z [May,27.416,84.555,94013,53,3,8,113728
2023-137T12:09:42.4491Z [May,27.528,84.584,145202,186,6,17,113728
2023-137T12:09:43.4430Z [May,27.246,85.403,36721,92,2,4,113728
2023-137T12:09:43.5666Z [May,27.111,85.136,393424,357,6,24,113728
2023-137T12:09:43.8385Z [May,27.695,84.673,177288,259,14,28,113728
2023-137T12:09:45.8223Z [May,27.139,85.089,662457,420,15,49,113728
2023-137T12:09:46.1198Z [May,27.860,84.842,33944,289,4,7,113728
2023-137T12:09:46.1982Z [May,27.122,85.278,126509,202,9,21,113728
2023-137T12:09:47.8369Z [May,27.041,85.217,109554,169,2,8,113728
2023-137T12:09:48.4203Z [May,27.188,85.300,189052,248,9,23,113728
2023-137T12:09:49.1042Z [May,27.276,85.402,801149,657,21,58,113728
2023-137T12:09:50.6412Z [May,27.069,85.147,79184,295,5,11,113728
2023-137T12:09:51.7135Z [May,27.223,85.422,73731,84,4,8,113728
2023-137T12:09:53.9532Z [May,27.237,85.330,198170,250,11,24,113728
2023-137T12:09:55.3120Z [May,27.074,85.150,43311,250,3,5,113728
2023-137T12:09:55.6557Z [May,27.421,84.565,175653,270,6,13,113728
2023-137T12:09:57.3316Z [May,27.390,84.529,276074,551,10,27,113728
2023-137T12:09:57.9707Z [May,27.308,84.882,191388,245,11,28,113728
2023-137T12:10:00.2180Z [May,27.586,84.524,135616,118,5,14,113728
2023-137T12:10:14.6944Z [May,27.160,85.312,83056,257,5,9,113728
2023-137T12:10:15.3477Z [May,27.227,85.420,741728,784,27,66,113728
2023-137T12:10:18.8947Z [May,27.227,85.348,46875,85,3,7,113728
2023-137T12:10:20.7459Z [May,27.268,84.851,131479,75,6,16,113728
2023-137T12:10:21.3454Z [May,27.147,85.317,71487,410,7,11,113728
2023-137T12:10:23.6660Z [May,27.235,85.435,45487,225,5,7,113728
