Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-075T12:57:46.9200Z [Mar,28.341,84.455,2085275,1024,44,201,122525
2023-075T12:58:03.6990Z [Mar,28.290,84.018,31227,1,2,7,122525
2023-075T12:58:08.6566Z [Mar,28.286,84.499,76709,17,2,11,122525
2023-075T12:58:30.2299Z [Mar,28.282,84.482,849394,103,11,56,122525
2023-075T12:58:58.3818Z [Mar,28.301,84.498,448091,370,19,54,122525
2023-075T21:09:50.3721Z [Mar,27.490,84.669,664386,606,21,43,200952
2023-075T21:09:53.4584Z [Mar,27.481,84.570,13610,0,1,2,200952
2023-075T21:09:56.8056Z [Mar,27.451,84.592,20100,9,2,4,200952
2023-075T21:10:02.0406Z [Mar,27.193,85.219,91748,290,8,12,200952
2023-075T21:10:02.4973Z [Mar,27.414,84.609,5025,0,1,1,200952
2023-075T21:10:04.3756Z [Mar,27.097,84.901,5025,0,1,1,200952
2023-075T21:10:06.5273Z [Mar,27.472,84.597,5734,0,1,1,200952
2023-075T21:10:10.4649Z [Mar,27.461,84.588,12117,123,2,2,200952
2023-075T21:10:12.5719Z [Mar,27.021,84.850,22274,122,3,5,200952
2023-075T21:10:14.0437Z [Mar,27.408,84.623,36648,0,1,6,200952
2023-075T21:10:14.1030Z [Mar,27.434,84.534,99060,3,3,9,200952
2023-075T21:10:15.0271Z [Mar,26.914,84.827,56056,119,4,7,200952
2023-075T21:10:15.5069Z [Mar,26.871,84.902,6448,0,1,1,200952
2023-075T21:10:23.3504Z [Mar,27.242,85.222,168500,358,8,17,200952
2023-075T21:10:23.7303Z [Mar,27.022,84.810,16747,239,2,2,200952
2023-075T21:10:24.1579Z [Mar,27.017,84.923,154877,755,16,28,200952
2023-079T11:23:34.6464Z [Mar,27.449,84.834,186886,55,3,16,105130
2023-079T11:23:37.0011Z [Mar,27.542,84.912,60823,15,5,9,105130
2023-079T11:23:51.2441Z [Mar,27.257,84.716,636867,474,13,61,105130
2023-079T11:24:24.3139Z [Mar,27.322,84.771,448571,146,10,39,105130
2023-079T11:24:36.8276Z [Mar,27.336,84.771,146062,94,4,14,105130
2023-079T11:24:42.1325Z [Mar,27.400,84.896,105810,2,2,12,105130
2023-079T11:24:48.5428Z [Mar,27.432,84.902,80470,3,3,10,105130
2023-079T11:24:57.8317Z [Mar,27.344,84.772,197545,252,7,17,105130
2023-080T10:36:37.8081Z [Mar,27.700,85.400,184222,336,7,17,100444
2023-083T09:50:51.0905Z [Mar,28.350,84.512,195250,279,12,21,91706
2023-090T07:26:27.2601Z [Mar,27.997,84.143,649988,773,23,48,65341
2023-090T07:26:27.4661Z [Mar,28.034,84.131,444887,685,15,42,65341
2023-090T07:27:45.8818Z [Mar,28.330,84.381,126670,4,3,9,65341
2023-091T06:40:05.1243Z [Apr,27.383,84.174,129100,123,4,11,60655
2023-091T06:40:09.8116Z [Apr,27.449,84.082,255627,169,14,31,60655
2023-113T06:53:27.4038Z [Apr,28.064,85.701,162963,579,8,16,55125
2023-113T21:52:34.5116Z [Apr,26.557,84.987,1275774,608,31,111,211944
2023-133T13:47:01.8443Z [May,27.813,85.931,40480,53,3,5,131456
2023-133T13:47:51.8930Z [May,27.807,85.945,65573,162,7,9,131456
2023-133T13:48:19.2907Z [May,27.848,85.974,22553,0,1,3,131456
