-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 09/03/2023 through 09/03/2023 
Location: Latitude  27.7101   Longitude 85.3158 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1269.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,PRECTOTCORR,PS
2023,9,3,0,22.04,21.05,21.55,0.21,87.11
2023,9,3,1,22.0,20.97,21.48,0.21,87.07
2023,9,3,2,21.93,20.9,21.41,0.17,87.03
2023,9,3,3,21.82,20.82,21.32,0.13,87.01
2023,9,3,4,21.76,20.73,21.25,0.11,87.01
2023,9,3,5,21.81,20.62,21.21,0.11,87.03
2023,9,3,6,21.95,20.68,21.32,0.12,87.07
2023,9,3,7,22.93,21.65,22.3,0.15,87.12
2023,9,3,8,24.05,21.87,22.97,0.17,87.17
2023,9,3,9,24.77,21.7,23.24,0.17,87.2
2023,9,3,10,24.96,21.79,23.37,0.18,87.2
2023,9,3,11,25.2,22.09,23.65,0.25,87.16
2023,9,3,12,25.47,22.3,23.88,0.35,87.09
2023,9,3,13,25.64,22.4,24.02,0.46,87.01
2023,9,3,14,25.48,22.45,23.96,0.47,86.93
2023,9,3,15,25.11,22.56,23.83,0.34,86.87
2023,9,3,16,24.62,22.7,23.66,0.24,86.85
2023,9,3,17,24.03,22.81,23.42,0.19,86.87
2023,9,3,18,23.2,22.4,22.8,0.42,86.92
2023,9,3,19,22.92,21.96,22.44,0.44,86.98
2023,9,3,20,22.88,21.7,22.29,0.44,87.03
2023,9,3,21,22.75,21.36,22.05,0.56,87.05
2023,9,3,22,22.55,21.04,21.8,0.46,87.05
2023,9,3,23,22.22,20.71,21.47,0.34,87.03
